eventID,locationID,decimalLatitude,decimalLongitude,minimumDepthInMeters,maximumDepthInMeters,geodeticDatum,eventDate,footprintWKT,distance_towed_m,area_swept_m2,samplingProtocol,station_depth_to_bottom,performance,lifeStage,length_class_mm,total_length_mm,aggregate_weight_g,disposition,individualCount,basisOfRecord,occurrenceStatus,scientificName,family,phylum,class,order,genus,taxonID
urn:catalog:ambon:2015_hauls:cl0:ikmt:3,CL0,68.90218,-166.41299999999998,4.5636,4.5636,EPSG:4326,2015-08-13T05:50-08:00,POINT(-166.41299999999998 68.90218),362.8697053,,IKMT,31,Quantitative,,,,0.5,Discarded,1.0,HumanObservation,Present,Teleostei,,Chordata,Actinopterygii,,,urn:lsid:marinespecies.org:taxname:293496
urn:catalog:ambon:2015_hauls:cl0:psbta:11,CL0,68.909565,-166.4094,31.8236,31.8236,EPSG:4326,2015-08-13T05:38-08:00,POINT(-166.4094 68.909565),230.73966780000003,520.7794302,PSBTA,31,Quantitative,,25.0,23.0,71.0,Frozen,1.0,HumanObservation,Present,Artediellus scaber,Cottidae,Chordata,Actinopterygii,Scorpaeniformes,Artediellus,urn:lsid:marinespecies.org:taxname:127194
urn:catalog:ambon:2015_hauls:cl0:psbta:11,CL0,68.909565,-166.4094,31.8236,31.8236,EPSG:4326,2015-08-13T05:38-08:00,POINT(-166.4094 68.909565),230.73966780000003,520.7794302,PSBTA,31,Quantitative,,25.0,23.0,,Frozen,1.0,HumanObservation,Present,Artediellus scaber,Cottidae,Chordata,Actinopterygii,Scorpaeniformes,Artediellus,urn:lsid:marinespecies.org:taxname:127194
urn:catalog:ambon:2015_hauls:cl0:psbta:11,CL0,68.909565,-166.4094,31.8236,31.8236,EPSG:4326,2015-08-13T05:38-08:00,POINT(-166.4094 68.909565),230.73966780000003,520.7794302,PSBTA,31,Quantitative,,25.0,21.0,,Frozen,1.0,HumanObservation,Present,Artediellus scaber,Cottidae,Chordata,Actinopterygii,Scorpaeniformes,Artediellus,urn:lsid:marinespecies.org:taxname:127194
urn:catalog:ambon:2015_hauls:cl0:psbta:11,CL0,68.909565,-166.4094,31.8236,31.8236,EPSG:4326,2015-08-13T05:38-08:00,POINT(-166.4094 68.909565),230.73966780000003,520.7794302,PSBTA,31,Quantitative,,25.0,22.0,,Frozen,1.0,HumanObservation,Present,Artediellus scaber,Cottidae,Chordata,Actinopterygii,Scorpaeniformes,Artediellus,urn:lsid:marinespecies.org:taxname:127194
urn:catalog:ambon:2015_hauls:cl0:psbta:11,CL0,68.909565,-166.4094,31.8236,31.8236,EPSG:4326,2015-08-13T05:38-08:00,POINT(-166.4094 68.909565),230.73966780000003,520.7794302,PSBTA,31,Quantitative,,45.0,50.0,,Frozen,1.0,HumanObservation,Present,Artediellus scaber,Cottidae,Chordata,Actinopterygii,Scorpaeniformes,Artediellus,urn:lsid:marinespecies.org:taxname:127194
urn:catalog:ambon:2015_hauls:cl0:psbta:11,CL0,68.909565,-166.4094,31.8236,31.8236,EPSG:4326,2015-08-13T05:38-08:00,POINT(-166.4094 68.909565),230.73966780000003,520.7794302,PSBTA,31,Quantitative,,45.0,47.0,,Frozen,1.0,HumanObservation,Present,Artediellus scaber,Cottidae,Chordata,Actinopterygii,Scorpaeniformes,Artediellus,urn:lsid:marinespecies.org:taxname:127194
urn:catalog:ambon:2015_hauls:cl0:psbta:11,CL0,68.909565,-166.4094,31.8236,31.8236,EPSG:4326,2015-08-13T05:38-08:00,POINT(-166.4094 68.909565),230.73966780000003,520.7794302,PSBTA,31,Quantitative,,45.0,48.0,,Frozen,1.0,HumanObservation,Present,Artediellus scaber,Cottidae,Chordata,Actinopterygii,Scorpaeniformes,Artediellus,urn:lsid:marinespecies.org:taxname:127194
urn:catalog:ambon:2015_hauls:cl0:psbta:11,CL0,68.909565,-166.4094,31.8236,31.8236,EPSG:4326,2015-08-13T05:38-08:00,POINT(-166.4094 68.909565),230.73966780000003,520.7794302,PSBTA,31,Quantitative,,55.0,55.0,,Frozen,1.0,HumanObservation,Present,Artediellus scaber,Cottidae,Chordata,Actinopterygii,Scorpaeniformes,Artediellus,urn:lsid:marinespecies.org:taxname:127194
urn:catalog:ambon:2015_hauls:cl0:psbta:11,CL0,68.909565,-166.4094,31.8236,31.8236,EPSG:4326,2015-08-13T05:38-08:00,POINT(-166.4094 68.909565),230.73966780000003,520.7794302,PSBTA,31,Quantitative,,55.0,54.0,,Frozen,1.0,HumanObservation,Present,Artediellus scaber,Cottidae,Chordata,Actinopterygii,Scorpaeniformes,Artediellus,urn:lsid:marinespecies.org:taxname:127194
