,Cruise,Local Date,Station,Gear,Haul,Start Time (UTC),Start Lat,Start Long,End Time (UTC),End Lat,End Long,Station Depth,Quantitative,Q=1 NQ=0,Volume,Fish Split,Invert Split,Wire Out,Trawl Notes,Catch Notes
0,AMBON 2017,6-Aug-17,DBO3-8,IKMT,1,19:06:11,67.66691,-168.9589,19:16:18,67.67638,-168.9498,48.0,Q,1,1 qt,100,0,80 m,,"lots of comb jellies, euphausiids"
1,AMBON 2017,6-Aug-17,DBO3-8,PSBTA,1,19:58:04,67.66369,-168.9591,20:01:03,67.66518,-168.9573,48.0,NQ,0,1 gal,100,0,100 m ,Roller gear and weights were muddy but catch small,Lots of pelagic jellies and fish
2,AMBON 2017,6-Aug-17,DBO3-8,PSBTA,2,20:16:50,67.66753,-168.9543,20:19:37,67.66872,-168.953,48.2,Q,1,5 gal,100,100,130 m,Retow at DBO 3-8,"Clean catch, lots of jellies and one very big walleye pollock!"
3,AMBON 2017,6-Aug-17,DBO3-7,PSBTA,3,23:39:06,67.77881,-168.6035,23:42:05,67.78023,-168.6037,48.0,Q,1,5 gal,100,100,135 m,"3 min tow, very clean",Lots of snow crab and stichaeids
4,AMBON 2017,7-Aug-17,DBO3-6,PSBTA,4,3:03:11,67.89535,-168.2331,3:07:17,67.89691,-168.237,55.0,Q,1,10 gal,100,50,145 m,"4 min tow, very clean",lots of large brittle stars and some snow crabs
5,AMBON 2017,7-Aug-17,DBO3-5,PSBTA,5,5:54:20,68.01134,-167.8686,5:58:33,68.0128,-167.8643,53.0,NQ,0,1 qt,100,0,155 m ,"4 min tow, not solid bottom contact","some anenomes, sand dollars, crabs "
6,AMBON 2017,7-Aug-17,DBO3-5,PSBTA,6,6:22:13,68.01122,-167.8692,6:26:33,68.01257,-167.8647,53.0,Q,1,2 gal,100,100,165 m,"Retow of DBO3-5 PSBTA Haul 5, Bottom contact, 4 min tow","Basket stars, crabs, sand dollars "
7,AMBON 2017,7-Aug-17,DBO3-4,PSBTA,7,9:39:53,68.12587,-167.4993,9:43:12,68.12733,-167.5021,51.0,Q,1,1 gal ,100,100,150,"3 min tow, confirmed with Katrin that Q was ok","clean catch, eualus, basket stars, tunicates "
8,AMBON 2017,7-Aug-17,DBO3-3,PSBTA,8,11:35:18,68.18622,-167.3067,11:38:18,68.18748,-167.3096,48.0,NQ,0,2 qt,100,0,155,"3 min tow, retwoing for 5 min w/5 m more wire","clean catch, very small"
9,AMBON 2017,7-Aug-17,DBO3-3,PSBTA,9,12:01:37,68.18666,-167.307,12:06:28,68.18897,-167.3115,48.0,Q,1,2 gal,100,100,160,5 min tow,"clean catch, brittle stars, tunicates, eualus and crab"
10,AMBON 2017,7-Aug-17,DBO3-2,IKMT,2,14:56:32,68.23746,-167.1259,15:08:46,68.2507,-167.1259,44.0,Q,1,3 cups,100,0,100,,"Jellies, crab larvae, larval cods"
11,AMBON 2017,7-Aug-17,DBO3-2,PSBTA,10,16:01:50,68.24227,-167.1246,16:07:12,68.24532,-167.1265,44.0,Q,1,3 gal,100,100,150,"5 min tow, trawl may have kited for ~30 sec according to SIMRAD","Clean haul, lots of jelly (had to rinse the net) eualus, basket stars, tunicates"
12,AMBON 2017,7-Aug-17,DBO3-1,PSBTA,11,17:53:32,68.29786,-166.9272,17:58:38,68.29887,-166.9344,35.0,Q,1,,100,100,115,,"clean catch, lots of eualus, crabs, basket stars and coral on the beam"
13,AMBON 2017,8-Aug-17,CL3,PSBTA,12,3:11:34,69.03391,-168.8929,3:16:42,69.03131,-168.8917,53.0,NQ,0,0.5 gal,100,0,175 m,"not firm bottom contact, towed for 5 min, will retow","crabs, some bivalves"
14,AMBON 2017,8-Aug-17,CL3,PSBTA,13,3:33:59,69.03136,-168.8919,3:39:02,69.03395,-168.8929,53.0,NQ,0,1 gal,100,100,185,"still iffy looking, SIMRAD looked like it was on bottom, perhaps swell is messing with it, no time to retow","jellies, crabs and bivalves"
15,AMBON 2017,8-Aug-17,CL3,IKMT,3,3:54:32,69.03847,-168.8967,4:06:16,69.03069,-168.8879,53.0,Q,1,1 qt,100,0,110,,Lots of jellies
16,AMBON 2017,8-Aug-17,CL2,PSBTA,14,8:44:49,69.02989,-167.9316,8:50:07,69.03194,-167.926,51.0,Q,1,1 gal ,100,100,180 m,"5 min tow, added 16lbs weight to trawl, seemed to improve bottom contact and fishing ","clean catch, chionocetes, hermits, molluscs"
17,AMBON 2017,8-Aug-17,CL1,PSBTA,15,13:53:06,68.94826,-166.9074,13:58:24,68.94833,-166.899,47.0,Q,1,1.5 gal,100,100,170 m,added additional 16 lbs to net,"beautiful haul, lots of hermits, chionecetes, molluscs, no jellies, 5 min tow"
18,AMBON 2017,8-Aug-17,CL0,IKMT,4,16:35:08,68.89265,-166.4302,16:46:38,68.90373,-166.419,32.0,Q,1,3 cups,100,0,100,,"at least 4 kinds of jellies, crab larvae, Heidi collected one jelly"
