eventDate,decimalLatitude,decimalLongitude,maximumDepthInMeters,minimumDepthInMeters,datasetID,eventID,geodeticDatum,countryCode
2017-08-06T19:06:00-08:00Z,67.671645,-168.95435,48,12.49,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_DBO3.8_IKMT-1,WGS84,US
2017-08-07T14:56:00-08:00Z,68.24408,-167.1259,44,16.64,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_DBO3.2_IKMT-2,WGS84,US
2017-08-08T03:54:00-08:00Z,69.03458,-168.8923,53,18.8,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_CL3_IKMT-3,WGS84,US
2017-08-08T16:35:00-08:00Z,68.89819,-166.4246,32,17.93,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_CL0_IKMT-4,WGS84,US
2017-08-09T10:14:00-08:00Z,70.086355,-163.9484,33,26.16,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_ML6.1_IKMT-5,WGS84,US
2017-08-09T14:23:00-08:00Z,70.26868,-163.39985,32,25.76,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_ML1.3_IKMT-6,WGS84,US
2017-08-09T21:41:00-08:00Z,70.510285,-162.652,36,22.07,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_ML6.4_IKMT-7,WGS84,US
2017-08-12T01:37:00-08:00Z,71.35831,-159.69895,51,17.75,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_ML6.11_IKMT-9,WGS84,US
2017-08-12T11:29:00-08:00Z,70.892545,-159.3922,29,15.52,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_ML4.1_IKMT-10,WGS84,US
2017-08-12T22:49:00-08:00Z,71.45332,-161.04185,47,16.12,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_ML4.6_IKMT-11,WGS84,US
2017-08-13T05:11:00-08:00Z,71.71717,-161.78115,45,15.54,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_ML4.8_IKMT-12,WGS84,US
2017-08-13T15:43:00-08:00Z,72.10588,-162.9302,40,20.17,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_ML4.11_IKMT-13,WGS84,US
2017-08-14T01:54:00-08:00Z,72.49651,-164.10215,50,19,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_ML4.14_IKMT-14,WGS84,US
2017-08-15T02:11:00-08:00Z,71.47438,-162.61105,45,18.05,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_ML5.9_IKMT-15,WGS84,US
2017-08-15T12:51:00-08:00Z,72.120605,-165.354,46,24.13,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_ML3.14_IKMT-16,WGS84,US
2017-08-15T22:48:00-08:00Z,71.74335,-164.1505,40,17.3,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_ML3.11_IKMT-17,WGS84,US
2017-08-16T07:49:00-08:00Z,71.36249,-163.0281,47,17.62,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_ML3.8_IKMT-18,WGS84,US
2017-08-16T15:06:00-08:00Z,71.10687,-162.2473,47,29.14,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_ML3.6_IKMT-19,WGS84,US
2017-08-17T06:49:00-08:00Z,70.495775,-160.6323,19,19,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_ML3.1_IKMT-20,WGS84,US
2017-08-17T15:54:00-08:00Z,70.03471,-162.77125,16,16,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_ML1.1_IKMT-21,WGS84,US
2017-08-18T05:44:00-08:00Z,70.64688,-164.5042,47,20.55,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_ML1.6_IKMT-22,WGS84,US
2017-08-18T12:36:00-08:00Z,70.892865,-165.2614,42,24.49,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_ML1.8_IKMT-23,WGS84,US
2017-08-18T20:03:00-08:00Z,71.141695,-166.0315,44,21.58,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_ML1.10_IKMT-24,WGS84,US
2017-08-19T05:10:00-08:00Z,71.507535,-167.23125,49,28.76,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_ML1.13_IKMT-25,WGS84,US
2017-08-19T22:23:00-08:00Z,71.14619,-164.4856,43,22.81,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_ML5.5_IKMT-26,WGS84,US
2017-08-20T01:50:00-08:00Z,71.022205,-164.87515,36,23.37,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_ML5.4_IKMT-27,WGS84,US
2017-08-20T10:15:00-08:00Z,70.649585,-165.9953,42,23.21,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_ML5.1_IKMT-28,WGS84,US
2017-08-20T23:07:00-08:00Z,69.34192,-163.52115,15,15,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_BBL1_IKMT-29,WGS84,US
2017-08-21T09:00:00-08:00Z,69.644115,-164.80515,32,23.45,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_BBL4_IKMT-30,WGS84,US
2017-08-21T21:51:00-08:00Z,69.9181,-166.0538,45,24.23,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_BBL7_IKMT-31,WGS84,US
2017-08-22T07:26:00-08:00Z,70.192525,-167.36405,51,22.9,AMBON_fish_hauls_2017,AMBON_fish_hauls_2017_BBL10_IKMT-32,WGS84,US
