extraction_ID,alternative_ID,source,collection_year,collection_month,collection_day,location1,location2,location3,longitude,latitude,sample_type,depth,sample_volume_liters,sample_collect_device,filter_type,filter_size_micrometer,filter_preservation,preservation_volume_milliliters,time_of_day,project,collected_by,extraction_by,extraction_date,extraction_kit,plate_or_vial,longmire_volume_input_microliter,elution_volume_microliters,extraction_plate_ID,extraction_well_ID
e00611,NW21_2-10,water,2021,8,30,2,Northern Bering Sea,NA,-169.002,60.0014,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,08202017 20:15:42.489,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,A01
e00612,NW21_2-10,water,2021,8,30,2,Northern Bering Sea,NA,-169.002,60.0014,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,08202017 20:15:42.489,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,B01
e00613,NW21_2-10,water,2021,8,30,2,Northern Bering Sea,NA,-169.002,60.0014,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,08202017 20:15:42.489,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,C01
e00614,NW21_5-40,water,2021,8,31,5,Northern Bering Sea,NA,-170.995,60.5,sample,40,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,08312021 20:39:34.703,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,D01
e00615,NW21_5-40,water,2021,8,31,5,Northern Bering Sea,NA,-170.995,60.5,sample,40,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,08312021 20:39:34.703,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,E01
e00616,NW21_5-40,water,2021,8,31,5,Northern Bering Sea,NA,-170.995,60.5,sample,40,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,08312021 20:39:34.703,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,F01
e00617,NW21_5-10,water,2021,8,31,5,Northern Bering Sea,NA,-170.995,60.5,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,08312021 20:39:34.703,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,G01
e00618,NW21_5-10,water,2021,8,31,5,Northern Bering Sea,NA,-170.995,60.5,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,08312021 20:39:34.703,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,H01
e00619,NW21_5-10,water,2021,8,31,5,Northern Bering Sea,NA,-170.995,60.5,sample,10,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,08312021 20:39:34.703,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,A02
e00620,NW21_5b,water,2021,8,31,5,Northern Bering Sea,NA,-170.995,60.5,field_blank,NA,1,niskin bottle,47mm diameter cellulose nitrate membrane,0.45,longmire,,08312021 20:39:34.703,NBS,,MP,2022_02_23,Qiagen DNeasy Blood and Tissue - 96 well plate,plate,400,100,1_2022,B02
