extraction_ID,collection_year,project,sample_type,extraction_plate,extraction_well,sample_ID,sample_replicate,sample_ID_date,seq_date,amplicon,pcr_personnel,pcr_mastermix,amplicon_pcr_dilutution,normalization,bead_size_selection
e00611,2021,NBS,sample,1_2022,A01,e00611_A,A,e00611_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00612,2021,NBS,sample,1_2022,B01,e00612_A,A,e00612_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00613,2021,NBS,sample,1_2022,C01,e00613_A,A,e00613_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00614,2021,NBS,sample,1_2022,D01,e00614_A,A,e00614_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00615,2021,NBS,sample,1_2022,E01,e00615_A,A,e00615_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00616,2021,NBS,sample,1_2022,F01,e00616_A,A,e00616_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00617,2021,NBS,sample,1_2022,G01,e00617_A,A,e00617_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00618,2021,NBS,sample,1_2022,H01,e00618_A,A,e00618_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00619,2021,NBS,sample,1_2022,A02,e00619_A,A,e00619_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00620,2021,NBS,field_blank,1_2022,B02,e00620_A,A,e00620_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00621,2021,NBS,sample,1_2022,C02,e00621_A,A,e00621_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00622,2021,NBS,sample,1_2022,D02,e00622_A,A,e00622_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00623,2021,NBS,sample,1_2022,E02,e00623_A,A,e00623_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00624,2021,NBS,field_blank,1_2022,F02,e00624_A,A,e00624_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00625,2021,NBS,extraction_blank,1_2022,G02,e00625_A,A,e00625_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00626,2021,NBS,sample,1_2022,H02,e00626_A,A,e00626_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e00627,2021,NBS,sample,1_2022,A03,e00627_A,A,e00627_A_20240423,20240423,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
