extraction_ID,Sample_Name,Collection_Date_local,Collection_Time_local,Cast_No.,Rosette_position,Station,Depth_m,Lat_dec,Lon_dec,temperature_ch1,temperature_ch2,salinity_ch1,salinity_ch2
e04258,E1877.SKQ23,9/14/2023,5:34,1,1,M8,67.6,62.19491667,-174.6735,-1.5216,-1.5218,31.837,31.8477
e04259,E1878.SKQ23,9/14/2023,5:44,1,12,M8,30.4,62.19491667,-174.6735,-1.2925,-1.2943,31.5575,31.5726
e04260,E1879.SKQ23,9/14/2023,5:51,1,18,M8,10.3,62.19491667,-174.6735,7.7534,7.7544,30.779,30.7869
e04103,E1880.SKQ23,9/14/2023,21:31,2,1,DBO1.1,74.2,62.01003333,-175.0599833,-0.7691,-0.7691,31.9484,31.9579
e04104,E1881.SKQ23,9/14/2023,21:39,2,10,DBO1.1,30.6,62.01003333,-175.0599833,-1.1017,-1.1008,31.473,31.4811
e04105,E1882.SKQ23,9/14/2023,21:46,2,16,DBO1.1,10.5,62.01003333,-175.0599833,7.4707,7.4717,30.6707,30.6785
e04106,E1883.SKQ23,9/14/2023,0:07,3,1,DBO1.2,75.6,62.0504,-175.21135,-0.9855,-0.9825,31.9119,31.9433
e04107,E1884.SKQ23,9/14/2023,0:18,3,12,DBO1.2,27.4,62.0504,-175.21135,-1.3386,-1.3384,31.3536,31.3816
e04108,E1885.SKQ23,9/14/2023,0:24,3,17,DBO1.2,10.2,62.0504,-175.21135,7.3349,7.3361,30.6496,30.6735
e04109,E1886.SKQ23,9/15/2023,14:19,5,1,DBO1.4,66,62.39,-174.57,-1.5235,-1.5231,31.899,31.9097
e04110,E1887.SKQ23,9/15/2023,14:30,5,12,DBO1.4,24.4,62.39,-174.57,2.226,2.1159,31.4902,31.5124
e04111,E1888.SKQ23,9/15/2023,14:37,5,21,DBO1.4,1.5,62.39,-174.57,7.8611,7.8686,30.9243,30.9882
e04112,E1889.SKQ23,9/15/2023,20:54,7,1,DBO1.6,61.2,62.56,-173.55,-1.5122,-1.5109,31.8883,31.8984
e04113,E1890.SKQ23,9/15/2023,21:01,7,10,DBO1.6,30.5,62.56,-173.55,-1.069,-1.0682,31.7531,31.7626
e04114,E1891.SKQ23,9/15/2023,21:08,7,18,DBO1.6,10.6,62.56,-173.55,7.4527,7.4555,31.1556,31.1635
e04115,E1892.SKQ23,9/16/2023,3:01,9,1,DBO1.8,66.6,63.03,-173.46,-1.3754,-1.3752,32.0936,32.1037
e04116,E1893.SKQ23,9/16/2023,3:09,9,10,DBO1.8,30.4,63.03,-173.46,-0.4536,-0.4519,31.9201,31.93
e04117,E1894.SKQ23,9/16/2023,3:15,9,17,DBO1.8,10.3,63.03,-173.46,7.3383,7.3387,31.3851,31.3922
e04118,E1895.SKQ23,9/16/2023,19:50,12,1,DBO2.09,41.4,64.67166667,-170.2623333,3.2241,3.2249,33.0136,33.0232
e04119,E1896.SKQ23,9/16/2023,19:53,12,8,DBO2.09,30.3,64.67166667,-170.2623333,3.2253,3.2259,33.0135,33.0228
e04120,E1897.SKQ23,9/16/2023,19:59,12,15,DBO2.09,10.3,64.67166667,-170.2623333,3.2295,3.2308,33.0135,33.0234
e04121,E1898.SKQ23,9/17/2023,0:38,14,1,DBO2.1,41,64.67,-169.92,2.8122,2.8129,33.0207,33.0306
e04122,E1899.SKQ23,9/17/2023,0:41,14,8,DBO2.1,30.7,64.67,-169.92,2.8591,2.8598,33.0248,33.0343
e04123,E1900.SKQ23,9/17/2023,0:49,14,13,DBO2.1,10.4,64.67,-169.92,2.2387,2.2416,32.561,32.5796
e04124,E1901.SKQ23,9/17/2023,5:47,16,1,DBO2.2,40,64.68,-169.1,2.9505,2.9513,32.8443,32.8539
e04125,E1902.SKQ23,9/17/2023,5:50,16,5,DBO2.2,30.4,64.68,-169.1,2.7194,2.7224,32.7163,32.727
e04126,E1903.SKQ23,9/17/2023,5:56,16,13,DBO2.2,10.8,64.68,-169.1,2.6188,2.6192,32.4494,32.4589
e04127,E1904.SKQ23,9/17/2023,11:01,18,1,DBO2.3,33,64.67,-168.235,5.5056,5.4935,31.8511,31.858
e04128,E1905.SKQ23,9/17/2023,11:06,18,12,DBO2.3,10.1,64.67,-168.235,6.0985,6.1001,31.8168,31.8261
e04129,E1906.SKQ23,9/17/2023,14:36,19,1,DBO2.7,40.6,65,-168.2220833,4.3167,4.3075,28.4681,30.9876
e04130,E1907.SKQ23,9/17/2023,14:39,19,7,DBO2.7,30.1,65,-168.2220833,5.6297,5.6237,27.4787,31.7685
e04131,E1908.SKQ23,9/17/2023,14:44,19,13,DBO2.7,10,65,-168.2220833,6.2487,6.2498,27.4666,31.0247
e04132,E1909.SKQ23,9/17/2023,19:00,21,1,DBO2.5,43.2,64.9745,-169.4873333,3.16,3.1354,32.8164,32.844
e04133,E1910.SKQ23,9/17/2023,19:04,21,8,DBO2.5,30.1,64.9745,-169.4873333,3.2231,3.2256,32.7602,32.7711
e04134,E1911.SKQ23,9/17/2023,19:09,21,18,DBO2.5,10.2,64.9745,-169.4873333,2.7998,2.8315,32.5835,32.5812
e04135,E1912.SKQ23,9/17/2023,23:10,23,1,DBO2.4,43.1,64.96166667,-169.886,2.219,2.2178,32.782,32.7931
e04136,E1913.SKQ23,9/17/2023,23:14,23,8,DBO2.4,30.8,64.96166667,-169.886,3.2504,3.2456,32.7842,32.7953
e04137,E1914.SKQ23,9/17/2023,23:20,23,15,DBO2.4,10.5,64.96166667,-169.886,1.2959,1.2965,32.1244,32.1356
e04138,E1915.SKQ23,9/20/2023,13:15,25,1,DBO5.1,41.2,71.24685,-157.1642333,2.5085,2.5089,31.6573,31.6683
e04139,E1916.SKQ23,9/20/2023,13:18,25,7,DBO5.1,30.3,71.24685,-157.1642333,3.7715,3.7726,31.1943,31.2151
e04140,E1917.SKQ23,9/20/2023,13:24,25,14,DBO5.1,10.1,71.24685,-157.1642333,4.0922,4.0934,30.6655,30.6762
e04141,E1918.SKQ23,9/20/2023,15:22,26,1,DBO5.2,51.4,71.28766667,-157.2458167,2.1639,2.1631,31.784,31.7956
