AlternateID,CommonName,Phylum,Class,Order,Family,Genus,SpeciesName,Collector,CollectionDate,collection_year,CruiseID,Event ID,Haul,Station,Equipment_Gear,Locality,StartLatitude_N,StartLongitude_W
Norton10_240,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,52,Bottom Trawl,eastern Bering Sea,63.49,-164.32
Norton10_241,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,52,Bottom Trawl,eastern Bering Sea,63.49,-164.32
Norton10_242,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,52,Bottom Trawl,eastern Bering Sea,63.49,-164.32
Norton10_243,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,52,Bottom Trawl,eastern Bering Sea,63.49,-164.32
Norton10_244,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,52,Bottom Trawl,eastern Bering Sea,63.49,-164.32
Norton10_245,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,52,Bottom Trawl,eastern Bering Sea,63.49,-164.32
Norton10_246,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,55,Bottom Trawl,eastern Bering Sea,64.40,-162.43
Norton10_247,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,55,Bottom Trawl,eastern Bering Sea,64.40,-162.43
Norton10_248,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,55,Bottom Trawl,eastern Bering Sea,64.40,-162.43
Norton10_249,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,55,Bottom Trawl,eastern Bering Sea,64.40,-162.43
Norton10_250,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,55,Bottom Trawl,eastern Bering Sea,64.40,-162.43
Norton10_251,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,55,Bottom Trawl,eastern Bering Sea,64.40,-162.43
