"","AlternateID","CommonName","Phylum","Class","Order","Family","Genus","SpeciesName","Collector","CollectionDate","collection_year","CruiseID","Event.ID","Haul","Station","Equipment_Gear","Locality","StartLatitude_N","StartLongitude_W","StationID","TowType","EQ_Latitude","EQ_Longitude"
"1","2017_10","Arctic cod","Chordata","Actinopterygii","Gadiformes","Gadidae","Boreogadus","saida","Kris Cieciel, Ed Farley, NOAA","Aug. 11, 2017",2017,NA,49,NA,NA,"Surface trawl","Chukchi Sea",70.9671,-159.187,20171601007,"Surface",70.9671,-159.187
"2","2017_10","Arctic cod","Chordata","Actinopterygii","Gadiformes","Gadidae","Boreogadus","saida","Kris Cieciel, Ed Farley, NOAA","Aug. 11, 2017",2017,NA,49,NA,NA,"Surface trawl","Chukchi Sea",70.9671,-159.187,20171601007,"Surface",70.9815,-159.2053
"3","2017_10","Arctic cod","Chordata","Actinopterygii","Gadiformes","Gadidae","Boreogadus","saida","Kris Cieciel, Ed Farley, NOAA","Aug. 11, 2017",2017,NA,49,NA,NA,"Surface trawl","Chukchi Sea",70.9671,-159.187,20191601052,"Midwater",71.0121,-159.2592
"4","2017_1000","Arctic cod","Chordata","Actinopterygii","Gadiformes","Gadidae","Boreogadus","saida","Kris Cieciel, Ed Farley, NOAA","Aug. 15, 2017",2017,NA,111,NA,NA,"Surface trawl","Chukchi Sea",71.3356,-154.415,NA,NA,NA,NA
"5","2017_101","Arctic cod","Chordata","Actinopterygii","Gadiformes","Gadidae","Boreogadus","saida","Kris Cieciel, Ed Farley, NOAA","Aug. 12, 2017",2017,NA,65,NA,NA,"Surface trawl","Chukchi Sea",71.0821,-158.0496,20171601009,"Surface",71.0821,-158.0496
"6","2017_1011","Walleye pollock","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","chalcogrammus","Kris Cieciel, Ed Farley, NOAA","Sept. 5, 2017",2017,NA,419,NA,NA,"Surface trawl","Chukchi Sea",71.5032,-164.9592,20171601071,"Midwater",71.5032,-164.9592
"7","2017_1011","Walleye pollock","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","chalcogrammus","Kris Cieciel, Ed Farley, NOAA","Sept. 5, 2017",2017,NA,419,NA,NA,"Surface trawl","Chukchi Sea",71.5032,-164.9592,20191601061,"Midwater",71.7503,-164.8855
"8","2017_1012","Walleye pollock","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","chalcogrammus","Kris Cieciel, Ed Farley, NOAA","Sept. 5, 2017",2017,NA,419,NA,NA,"Surface trawl","Chukchi Sea",71.5032,-164.9592,20171601071,"Midwater",71.5032,-164.9592
"9","2017_1012","Walleye pollock","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","chalcogrammus","Kris Cieciel, Ed Farley, NOAA","Sept. 5, 2017",2017,NA,419,NA,NA,"Surface trawl","Chukchi Sea",71.5032,-164.9592,20191601061,"Midwater",71.7503,-164.8855
"10","2017_1014","Arctic cod","Chordata","Actinopterygii","Gadiformes","Gadidae","Boreogadus","saida","Kris Cieciel, Ed Farley, NOAA","Sept. 5, 2017",2017,NA,419,NA,NA,"Surface trawl","Chukchi Sea",71.5032,-164.9592,20171601071,"Midwater",71.5032,-164.9592
"11","2017_1014","Arctic cod","Chordata","Actinopterygii","Gadiformes","Gadidae","Boreogadus","saida","Kris Cieciel, Ed Farley, NOAA","Sept. 5, 2017",2017,NA,419,NA,NA,"Surface trawl","Chukchi Sea",71.5032,-164.9592,20191601061,"Midwater",71.7503,-164.8855
"12","2017_1015","Arctic cod","Chordata","Actinopterygii","Gadiformes","Gadidae","Boreogadus","saida","Kris Cieciel, Ed Farley, NOAA","Sept. 5, 2017",2017,NA,419,NA,NA,"Surface trawl","Chukchi Sea",71.5032,-164.9592,20171601071,"Midwater",71.5032,-164.9592
"13","2017_1015","Arctic cod","Chordata","Actinopterygii","Gadiformes","Gadidae","Boreogadus","saida","Kris Cieciel, Ed Farley, NOAA","Sept. 5, 2017",2017,NA,419,NA,NA,"Surface trawl","Chukchi Sea",71.5032,-164.9592,20191601061,"Midwater",71.7503,-164.8855
"14","2017_1016","Arctic cod","Chordata","Actinopterygii","Gadiformes","Gadidae","Boreogadus","saida","Kris Cieciel, Ed Farley, NOAA","Sept. 5, 2017",2017,NA,419,NA,NA,"Surface trawl","Chukchi Sea",71.5032,-164.9592,20171601071,"Midwater",71.5032,-164.9592
"15","2017_1016","Arctic cod","Chordata","Actinopterygii","Gadiformes","Gadidae","Boreogadus","saida","Kris Cieciel, Ed Farley, NOAA","Sept. 5, 2017",2017,NA,419,NA,NA,"Surface trawl","Chukchi Sea",71.5032,-164.9592,20191601061,"Midwater",71.7503,-164.8855
"16","2017_1017","Arctic cod","Chordata","Actinopterygii","Gadiformes","Gadidae","Boreogadus","saida","Kris Cieciel, Ed Farley, NOAA","Sept. 5, 2017",2017,NA,419,NA,NA,"Surface trawl","Chukchi Sea",71.5032,-164.9592,20171601071,"Midwater",71.5032,-164.9592
"17","2017_1017","Arctic cod","Chordata","Actinopterygii","Gadiformes","Gadidae","Boreogadus","saida","Kris Cieciel, Ed Farley, NOAA","Sept. 5, 2017",2017,NA,419,NA,NA,"Surface trawl","Chukchi Sea",71.5032,-164.9592,20191601061,"Midwater",71.7503,-164.8855
"18","2017_1018","Arctic cod","Chordata","Actinopterygii","Gadiformes","Gadidae","Boreogadus","saida","Kris Cieciel, Ed Farley, NOAA","Sept. 5, 2017",2017,NA,419,NA,NA,"Surface trawl","Chukchi Sea",71.5032,-164.9592,20171601071,"Midwater",71.5032,-164.9592
"19","2017_1018","Arctic cod","Chordata","Actinopterygii","Gadiformes","Gadidae","Boreogadus","saida","Kris Cieciel, Ed Farley, NOAA","Sept. 5, 2017",2017,NA,419,NA,NA,"Surface trawl","Chukchi Sea",71.5032,-164.9592,20191601061,"Midwater",71.7503,-164.8855
"20","2017_1019","Arctic cod","Chordata","Actinopterygii","Gadiformes","Gadidae","Boreogadus","saida","Kris Cieciel, Ed Farley, NOAA","Sept. 5, 2017",2017,NA,419,NA,NA,"Surface trawl","Chukchi Sea",71.5032,-164.9592,20171601071,"Midwater",71.5032,-164.9592
