qseqid,taxonomic_level,taxon,species,genus,family,order,class,phylum,kingdom,seq_percID,top_perc,diff
ASV_0445,species,Hippoglossus stenolepis,Hippoglossus stenolepis,Hippoglossus,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,99.408,99.408,0
ASV_0735,family,Pleuronectidae 1,Limanda aspera,Limanda,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,99.408,99.408,0
ASV_0735,family,Pleuronectidae 1,Hippoglossoides elassodon,Hippoglossoides,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,99.398,99.408,0.01
ASV_0735,family,Pleuronectidae 1,Hippoglossoides robustus,Hippoglossoides,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,99.398,99.408,0.01
ASV_0801,species,Hippoglossus stenolepis,Hippoglossus stenolepis,Hippoglossus,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,98.817,98.817,0
ASV_0010,family,Pleuronectidae 1,Hippoglossoides elassodon,Hippoglossoides,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0010,family,Pleuronectidae 1,Hippoglossoides robustus,Hippoglossoides,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0010,family,Pleuronectidae 1,Limanda aspera,Limanda,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0024,family,Pleuronectidae 1,Hippoglossoides elassodon,Hippoglossoides,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0024,family,Pleuronectidae 1,Hippoglossoides robustus,Hippoglossoides,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0024,family,Pleuronectidae 1,Limanda aspera,Limanda,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0043,family,Pleuronectidae 2,Liopsetta glacialis,Liopsetta,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0043,family,Pleuronectidae 2,Platichthys stellatus,Platichthys,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0105,species,Pleuronectes quadrituberculatus,Pleuronectes quadrituberculatus,Pleuronectes,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,99.408,99.408,0
ASV_0109,family,Pleuronectidae 2,Liopsetta glacialis,Liopsetta,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,98.817,98.817,0
ASV_0109,family,Pleuronectidae 2,Platichthys stellatus,Platichthys,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,98.817,98.817,0
ASV_0112,family,Pleuronectidae 1,Hippoglossoides elassodon,Hippoglossoides,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0112,family,Pleuronectidae 1,Hippoglossoides robustus,Hippoglossoides,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,100,100,0
