qseqid,taxonomic_level,taxon,species,genus,family,order,class,phylum,kingdom,seq_percID,top_perc,diff
ASV_0086,species,Leptoclinus maculatus,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,99.408,0
ASV_0665,species,Leptoclinus maculatus,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,98.817,98.817,0
ASV_1527,species,Leptoclinus maculatus,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.401,99.401,0
ASV_0003,family,Stichaeidae 1,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0003,family,Stichaeidae 1,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0069,family,Stichaeidae 1,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,99.408,0
ASV_0069,family,Stichaeidae 1,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,99.408,0
ASV_0093,family,Stichaeidae 2,Eumesogrammus praecisus,Eumesogrammus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0093,family,Stichaeidae 2,Opisthocentrus ocellatus,Opisthocentrus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0127,family,Stichaeidae 2,Eumesogrammus praecisus,Eumesogrammus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0127,family,Stichaeidae 2,Opisthocentrus ocellatus,Opisthocentrus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0158,family,Stichaeidae 1,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,99.408,0
ASV_0158,family,Stichaeidae 1,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,99.408,0
ASV_0181,species,Anisarchus medius,Anisarchus medius,Anisarchus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,99.408,0
ASV_0191,family,Stichaeidae 1,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,99.408,0
ASV_0191,family,Stichaeidae 1,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,99.408,0
ASV_0220,family,Stichaeidae 1,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,99.408,0
ASV_0220,family,Stichaeidae 1,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,99.408,0
ASV_0250,species,Sarritor frenatus,Sarritor frenatus,Sarritor,Agonidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0253,family,Stichaeidae 1,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,99.408,0
ASV_0253,family,Stichaeidae 1,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,99.408,0
