qseqid,taxonomic_level,taxon,species,genus,family,order,class,phylum,kingdom,seq_percID,top_perc,diff
ASV_0265,genus,Sebastes 1,Sebastes aleutianus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,99.405,0
ASV_0265,genus,Sebastes 1,Sebastes alutus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,99.405,0
ASV_0265,genus,Sebastes 1,Sebastes babcocki,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,99.405,0
ASV_0265,genus,Sebastes 1,Sebastes brevispinis,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,99.405,0
ASV_0265,genus,Sebastes 1,Sebastes elongatus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,99.405,0
ASV_0265,genus,Sebastes 1,Sebastes emphaeus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,99.405,0
ASV_0265,genus,Sebastes 1,Sebastes flavidus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,99.405,0
ASV_0265,genus,Sebastes 1,Sebastes goodei,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,99.405,0
ASV_0265,genus,Sebastes 1,Sebastes helvomaculatus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,99.405,0
ASV_0265,genus,Sebastes 1,Sebastes jordani,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,99.405,0
ASV_0265,genus,Sebastes 1,Sebastes melanops,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,99.405,0
ASV_0265,genus,Sebastes 1,Sebastes melanostictus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,99.405,0
ASV_0265,genus,Sebastes 1,Sebastes miniatus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,99.405,0
ASV_0265,genus,Sebastes 1,Sebastes pinniger,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,99.405,0
ASV_0265,genus,Sebastes 1,Sebastes proriger,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,99.405,0
ASV_0265,genus,Sebastes 1,Sebastes rosaceus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,99.405,0
ASV_0265,genus,Sebastes 1,Sebastes ruberrimus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,99.405,0
ASV_0265,genus,Sebastes 1,Sebastes variegatus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,99.405,0
ASV_0265,genus,Sebastes 1,Sebastes wilsoni,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,99.405,0
ASV_0265,genus,Sebastes 1,Sebastes zacentrus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,99.405,0
ASV_0166,genus,Sebastes 2,Sebastes ciliatus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0166,genus,Sebastes 2,Sebastes crameri,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0166,genus,Sebastes 2,Sebastes polyspinis,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0166,genus,Sebastes 2,Sebastes reedi,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0166,genus,Sebastes 2,Sebastes variabilis,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0193,genus,Sebastes 3,Sebastes auriculatus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0193,genus,Sebastes 3,Sebastes rastrelliger,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0407,genus,Sebastes 1,Sebastes aleutianus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0407,genus,Sebastes 1,Sebastes alutus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0407,genus,Sebastes 1,Sebastes babcocki,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0407,genus,Sebastes 1,Sebastes brevispinis,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0407,genus,Sebastes 1,Sebastes elongatus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0407,genus,Sebastes 1,Sebastes emphaeus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0407,genus,Sebastes 1,Sebastes flavidus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0407,genus,Sebastes 1,Sebastes goodei,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0407,genus,Sebastes 1,Sebastes helvomaculatus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0407,genus,Sebastes 1,Sebastes melanops,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0407,genus,Sebastes 1,Sebastes melanostictus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0407,genus,Sebastes 1,Sebastes miniatus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0407,genus,Sebastes 1,Sebastes pinniger,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0407,genus,Sebastes 1,Sebastes proriger,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0407,genus,Sebastes 1,Sebastes rosaceus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0407,genus,Sebastes 1,Sebastes ruberrimus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
