"","qseqid","taxon","taxonomic_level","species","genus","family","order","class","phylum","kingdom"
"1","ASV_0002","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
"2","ASV_0004","Ammodytes hexapterus","species","Ammodytes hexapterus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota"
"3","ASV_0014","Anisarchus medius","species","Anisarchus medius","Anisarchus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"4","ASV_0016","Mallotus villosus","species","Mallotus villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Chordata","Eukaryota"
"5","ASV_0019","Ammodytes personatus","species","Ammodytes personatus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota"
"6","ASV_0020","Lycodes polaris","species","Lycodes polaris","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"7","ASV_0022","Gymnocanthus tricuspis","species","Gymnocanthus tricuspis","Gymnocanthus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"8","ASV_0025","Pleuronectes quadrituberculatus","species","Pleuronectes quadrituberculatus","Pleuronectes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"9","ASV_0026","Osmerus mordax","species","Osmerus mordax","Osmerus","Osmeridae","Osmeriformes","Actinopteri","Chordata","Eukaryota"
"10","ASV_0030","Liparis tunicatus","species","Liparis tunicatus","Liparis","Liparidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"11","ASV_0037","Lycodes palearis","species","Lycodes palearis","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"12","ASV_0040","Lycodes raridens","species","Lycodes raridens","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"13","ASV_0044","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
"14","ASV_0049","Pleurogrammus monopterygius","species","Pleurogrammus monopterygius","Pleurogrammus","Hexagrammidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"15","ASV_0050","Delphinapterus leucas","species","Delphinapterus leucas","Delphinapterus","Monodontidae","Artiodactyla","Mammalia","Chordata","Eukaryota"
"16","ASV_0051","Asterias amurensis","species","Asterias amurensis","Asterias","Asteriidae","Forcipulatida","Asteroidea","Echinodermata","Eukaryota"
"17","ASV_0053","Pungitius pungitius","species","Pungitius pungitius","Pungitius","Gasterosteidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"18","ASV_0054","Stichaeus punctatus","species","Stichaeus punctatus","Stichaeus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"19","ASV_0061","Gasterosteus aculeatus","species","Gasterosteus aculeatus","Gasterosteus","Gasterosteidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"20","ASV_0066","Pholis laeta","species","Pholis laeta","Pholis","Pholidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"21","ASV_0068","Acantholumpenus mackayi","species","Acantholumpenus mackayi","Acantholumpenus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"22","ASV_0070","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
"23","ASV_0076","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
"24","ASV_0079","Mallotus villosus","species","Mallotus villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Chordata","Eukaryota"
"25","ASV_0083","Blepsias bilobus","species","Blepsias bilobus","Blepsias","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"26","ASV_0084","Balaena mysticetus","species","Balaena mysticetus","Balaena","Balaenidae","Artiodactyla","Mammalia","Chordata","Eukaryota"
"27","ASV_0089","Aspidophoroides olrikii","species","Aspidophoroides olrikii","Aspidophoroides","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"28","ASV_0090","Hippoglossus stenolepis","species","Hippoglossus stenolepis","Hippoglossus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"29","ASV_0100","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
"30","ASV_0103","Leptoclinus maculatus","species","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"31","ASV_0108","Oligocottus maculosus","species","Oligocottus maculosus","Oligocottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"32","ASV_0110","Artedius lateralis","species","Artedius lateralis","Artedius","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"33","ASV_0114","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
"34","ASV_0116","Aptocyclus ventricosus","species","Aptocyclus ventricosus","Aptocyclus","Cyclopteridae","Perciformes","Actinopteri","Chordata","Eukaryota"
"35","ASV_0119","Mallotus villosus","species","Mallotus villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Chordata","Eukaryota"
"36","ASV_0121","Eschrichtius robustus","species","Eschrichtius robustus","Eschrichtius","Eschrichtiidae","Artiodactyla","Mammalia","Chordata","Eukaryota"
"37","ASV_0122","Ammodytes personatus","species","Ammodytes personatus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota"
"38","ASV_0125","Triglops pingelii","species","Triglops pingelii","Triglops","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"39","ASV_0128","Artedius harringtoni","species","Artedius harringtoni","Artedius","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"40","ASV_0129","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
"41","ASV_0132","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
"42","ASV_0135","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
"43","ASV_0136","Hexagrammos decagrammus","species","Hexagrammos decagrammus","Hexagrammos","Hexagrammidae","Perciformes","Actinopteri","Chordata","Eukaryota"
