"","qseqid","species","seq_percID","top_perc","diff","taxonomic_level","taxon","genus","family","order","class","phylum","kingdom"
"1","ASV_0001","Gadus chalcogrammus",100,100,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"2","ASV_0006","Boreogadus saida",100,100,0,"species","Boreogadus saida","Boreogadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"3","ASV_0007","Gadus chalcogrammus",100,100,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"4","ASV_0009","Gadus chalcogrammus",100,100,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"5","ASV_0012","Eleginus gracilis",100,100,0,"species","Eleginus gracilis","Eleginus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"6","ASV_0033","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"7","ASV_0034","Gadus chalcogrammus",100,100,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"8","ASV_0041","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"9","ASV_0047","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"10","ASV_0058","Gadus chalcogrammus",98.824,98.824,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"11","ASV_0064","Gadus macrocephalus",100,100,0,"species","Gadus macrocephalus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"12","ASV_0067","Gadus chalcogrammus",100,100,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"13","ASV_0071","Gadus chalcogrammus",100,100,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"14","ASV_0073","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"15","ASV_0074","Gadus chalcogrammus",99.415,99.415,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"16","ASV_0077","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"17","ASV_0080","Gadus macrocephalus",100,100,0,"species","Gadus macrocephalus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"18","ASV_0081","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"19","ASV_0082","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"20","ASV_0087","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"21","ASV_0096","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"22","ASV_0101","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"23","ASV_0104","Eleginus gracilis",100,100,0,"species","Eleginus gracilis","Eleginus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"24","ASV_0107","Gadus chalcogrammus",98.824,98.824,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"25","ASV_0117","Gadus chalcogrammus",100,100,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"26","ASV_0118","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"27","ASV_0120","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"28","ASV_0123","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"29","ASV_0126","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"30","ASV_0130","Eleginus gracilis",99.415,99.415,0,"species","Eleginus gracilis","Eleginus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"31","ASV_0137","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"32","ASV_0140","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"33","ASV_0146","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"34","ASV_0154","Boreogadus saida",100,100,0,"species","Boreogadus saida","Boreogadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"35","ASV_0164","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"36","ASV_0170","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"37","ASV_0173","Gadus chalcogrammus",98.824,98.824,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"38","ASV_0175","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"39","ASV_0178","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"40","ASV_0179","Gadus chalcogrammus",98.824,98.824,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"41","ASV_0180","Gadus macrocephalus",99.408,99.408,0,"species","Gadus macrocephalus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"42","ASV_0184","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"43","ASV_0187","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"44","ASV_0188","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"45","ASV_0190","Boreogadus saida",99.408,99.408,0,"species","Boreogadus saida","Boreogadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"46","ASV_0196","Boreogadus saida",99.408,99.408,0,"species","Boreogadus saida","Boreogadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"47","ASV_0201","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"48","ASV_0205","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"49","ASV_0208","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"50","ASV_0218","Gadus chalcogrammus",100,100,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"51","ASV_0225","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"52","ASV_0229","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"53","ASV_0234","Eleginus gracilis",99.415,99.415,0,"species","Eleginus gracilis","Eleginus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"54","ASV_0235","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"55","ASV_0241","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"56","ASV_0244","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"57","ASV_0256","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"58","ASV_0261","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"59","ASV_0262","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"60","ASV_0269","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"61","ASV_0281","Gadus chalcogrammus",100,100,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"62","ASV_0282","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"63","ASV_0283","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"64","ASV_0292","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"65","ASV_0297","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"66","ASV_0300","Gadus chalcogrammus",98.824,98.824,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"67","ASV_0302","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"68","ASV_0309","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"69","ASV_0310","Gadus chalcogrammus",99.415,99.415,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"70","ASV_0314","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"71","ASV_0318","Gadus chalcogrammus",100,100,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"72","ASV_0319","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"73","ASV_0321","Gadus chalcogrammus",98.824,98.824,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"74","ASV_0324","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"75","ASV_0329","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"76","ASV_0341","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"77","ASV_0351","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"78","ASV_0352","Eleginus gracilis",99.415,99.415,0,"species","Eleginus gracilis","Eleginus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"79","ASV_0353","Arctogadus glacialis",100,100,0,"species","Arctogadus glacialis","Arctogadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"80","ASV_0359","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"81","ASV_0362","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"82","ASV_0364","Eleginus gracilis",99.415,99.415,0,"species","Eleginus gracilis","Eleginus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"83","ASV_0368","Gadus chalcogrammus",98.824,98.824,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"84","ASV_0378","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"85","ASV_0379","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"86","ASV_0381","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"87","ASV_0386","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"88","ASV_0391","Eleginus gracilis",98.837,98.837,0,"species","Eleginus gracilis","Eleginus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"89","ASV_0398","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"90","ASV_0402","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"91","ASV_0404","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"92","ASV_0411","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"93","ASV_0414","Eleginus gracilis",99.415,99.415,0,"species","Eleginus gracilis","Eleginus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"94","ASV_0416","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"95","ASV_0417","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"96","ASV_0419","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"97","ASV_0430","Gadus chalcogrammus",99.408,99.408,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"98","ASV_0442","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"99","ASV_0446","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"100","ASV_0453","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"101","ASV_0463","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"102","ASV_0472","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"103","ASV_0473","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"104","ASV_0478","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"105","ASV_0480","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"106","ASV_0482","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"107","ASV_0485","Gadus macrocephalus",98.824,98.824,0,"species","Gadus macrocephalus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"108","ASV_0487","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"109","ASV_0491","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"110","ASV_0492","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"111","ASV_0498","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"112","ASV_0499","Eleginus gracilis",99.415,99.415,0,"species","Eleginus gracilis","Eleginus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"113","ASV_0500","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"114","ASV_0510","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"115","ASV_0511","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"116","ASV_0525","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"117","ASV_0535","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"118","ASV_0538","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"119","ASV_0543","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"120","ASV_0558","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"121","ASV_0561","Gadus chalcogrammus",99.405,99.405,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"122","ASV_0563","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"123","ASV_0564","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"124","ASV_0566","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"125","ASV_0567","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"126","ASV_0568","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"127","ASV_0570","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"128","ASV_0576","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"129","ASV_0577","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"130","ASV_0578","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"131","ASV_0579","Eleginus gracilis",99.415,99.415,0,"species","Eleginus gracilis","Eleginus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"132","ASV_0580","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"133","ASV_0584","Eleginus gracilis",99.415,99.415,0,"species","Eleginus gracilis","Eleginus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"134","ASV_0585","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"135","ASV_0594","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"136","ASV_0597","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"137","ASV_0598","Gadus chalcogrammus",99.408,99.408,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"138","ASV_0601","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"139","ASV_0602","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"140","ASV_0606","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"141","ASV_0608","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"142","ASV_0610","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"143","ASV_0613","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"144","ASV_0616","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"145","ASV_0618","Gadus chalcogrammus",99.412,99.412,0,"species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
