"qseqid","species","genus","family","order","class","phylum","kingdom","seq_percID","top_perc","diff","taxonomic_level","taxon"
"ASV_0735","Nesiarchus nasutus","Nesiarchus","Gempylidae","Scombriformes","Actinopteri","Chordata","Eukaryota",99.398,99.408,0.0100000000000051,"class","Actinopteri"
"ASV_0086","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"order","Perciformes"
"ASV_0665","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.817,98.817,0,"order","Perciformes"
"ASV_1527","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.401,99.401,0,"order","Perciformes"
"ASV_0003","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"family","Stichaeidae"
"ASV_0003","Lumpenus fabricii","Lumpenus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"family","Stichaeidae"
"ASV_0069","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Stichaeidae"
"ASV_0069","Lumpenus fabricii","Lumpenus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Stichaeidae"
"ASV_0093","Eumesogrammus praecisus","Eumesogrammus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"family","Stichaeidae"
"ASV_0093","Opisthocentrus ocellatus","Opisthocentrus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"family","Stichaeidae"
"ASV_0127","Eumesogrammus praecisus","Eumesogrammus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"family","Stichaeidae"
"ASV_0127","Opisthocentrus ocellatus","Opisthocentrus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"family","Stichaeidae"
"ASV_0158","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Stichaeidae"
"ASV_0158","Lumpenus fabricii","Lumpenus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Stichaeidae"
"ASV_0181","Anisarchus medius","Anisarchus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Stichaeidae"
"ASV_0191","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Stichaeidae"
"ASV_0191","Lumpenus fabricii","Lumpenus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Stichaeidae"
"ASV_0220","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Stichaeidae"
"ASV_0220","Lumpenus fabricii","Lumpenus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Stichaeidae"
"ASV_0250","Leptagonus decagonus","Leptagonus","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"family","Agonidae"
"ASV_0250","Sarritor frenatus","Sarritor","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"family","Agonidae"
"ASV_0253","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Stichaeidae"
"ASV_0253","Lumpenus fabricii","Lumpenus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Stichaeidae"
"ASV_0257","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Stichaeidae"
"ASV_0257","Lumpenus fabricii","Lumpenus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Stichaeidae"
"ASV_0365","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"family","Stichaeidae"
"ASV_0365","Lumpenus fabricii","Lumpenus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"family","Stichaeidae"
"ASV_0390","Anisarchus medius","Anisarchus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Stichaeidae"
"ASV_0412","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Stichaeidae"
"ASV_0412","Lumpenus fabricii","Lumpenus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Stichaeidae"
"ASV_0449","Anisarchus medius","Anisarchus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Stichaeidae"
"ASV_0459","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Stichaeidae"
"ASV_0459","Lumpenus fabricii","Lumpenus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Stichaeidae"
"ASV_0551","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Stichaeidae"
"ASV_0551","Lumpenus fabricii","Lumpenus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Stichaeidae"
"ASV_0559","Osmerus mordax","Osmerus","Osmeridae","Osmeriformes","Actinopteri","Chordata","Eukaryota",99.405,99.405,0,"family","Osmeridae"
"ASV_0650","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Stichaeidae"
"ASV_0650","Lumpenus fabricii","Lumpenus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Stichaeidae"
"ASV_0682","Osmerus mordax","Osmerus","Osmeridae","Osmeriformes","Actinopteri","Chordata","Eukaryota",99.405,99.405,0,"family","Osmeridae"
"ASV_0700","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,100,0,"family","Stichaeidae"
